,0
0,"(0, 0)"
1,"(1, 1)"
2,"(2, 1)"
3,"(1, 0)"
4,"(-1, -1)"
5,"(0, -1)"
6,"(1, -2)"
7,"(2, -3)"
8,"(2, -4)"
9,"(2, -5)"
10,"(3, -6)"
11,"(3, -7)"
12,"(2, -8)"
13,"(1, -8)"
14,"(2, -9)"
15,"(1, -10)"
16,"(0, -10)"
17,"(1, -9)"
18,"(0, -7)"
19,"(-1, -8)"
20,"(-1, -9)"
21,"(-2, -8)"
22,"(-2, -9)"
23,"(-1, -10)"
24,"(-1, -11)"
25,"(-2, -12)"
26,"(-3, -11)"
27,"(-2, -10)"
28,"(-3, -8)"
29,"(-4, -9)"
30,"(-5, -9)"
31,"(-4, -10)"
32,"(-5, -11)"
33,"(-6, -10)"
34,"(-7, -10)"
35,"(-8, -9)"
36,"(-7, -8)"
37,"(-7, -7)"
38,"(-6, -6)"
39,"(-5, -7)"
40,"(-4, -6)"
41,"(-3, -7)"
42,"(0, -8)"
43,"(1, -7)"
44,"(2, -7)"
45,"(4, -6)"
46,"(4, -7)"
47,"(5, -8)"
48,"(6, -8)"
49,"(7, -9)"
50,"(8, -10)"
51,"(9, -10)"
52,"(10, -11)"
53,"(11, -12)"
54,"(11, -13)"
55,"(12, -13)"
56,"(12, -14)"
57,"(13, -15)"
58,"(14, -15)"
59,"(13, -12)"
60,"(14, -11)"
61,"(15, -11)"
62,"(14, -12)"
63,"(15, -12)"
64,"(16, -11)"
65,"(16, -10)"
66,"(15, -9)"
67,"(14, -9)"
68,"(15, -10)"
69,"(13, -11)"
70,"(12, -11)"
71,"(12, -10)"
72,"(11, -10)"
73,"(10, -10)"
74,"(9, -9)"
75,"(8, -8)"
76,"(7, -8)"
77,"(6, -7)"
78,"(6, -6)"
79,"(5, -5)"
80,"(5, -4)"
81,"(5, -3)"
82,"(6, -3)"
83,"(7, -2)"
84,"(8, -1)"
85,"(9, 0)"
86,"(9, 1)"
87,"(10, 2)"
88,"(9, 2)"
89,"(8, 3)"
90,"(8, 2)"
91,"(10, 1)"
92,"(11, 0)"
93,"(10, 0)"
94,"(8, 1)"
95,"(9, 3)"
96,"(9, 4)"
97,"(7, 3)"
98,"(8, 4)"
99,"(8, 5)"
100,"(9, 6)"
101,"(10, 6)"
102,"(11, 6)"
103,"(12, 7)"
104,"(12, 6)"
105,"(11, 5)"
106,"(11, 7)"
107,"(13, 5)"
108,"(14, 4)"
109,"(14, 3)"
110,"(13, 2)"
111,"(12, 2)"
112,"(14, 1)"
113,"(14, 2)"
114,"(12, 3)"
115,"(12, 4)"
116,"(12, 8)"
117,"(11, 8)"
118,"(10, 8)"
119,"(9, 7)"
120,"(10, 5)"
121,"(11, 2)"
122,"(7, 4)"
123,"(7, 0)"
124,"(8, 0)"
125,"(11, 1)"
126,"(12, 1)"
127,"(13, 0)"
128,"(13, -1)"
129,"(12, -2)"
130,"(11, -2)"
131,"(10, -1)"
132,"(7, -1)"
133,"(7, -3)"
134,"(7, -4)"
135,"(7, -5)"
136,"(8, -6)"
137,"(9, -6)"
138,"(10, -6)"
139,"(11, -7)"
140,"(11, -8)"
141,"(11, -6)"
142,"(12, -8)"
143,"(13, -7)"
144,"(13, -6)"
145,"(12, -5)"
146,"(13, -5)"
147,"(14, -5)"
148,"(15, -6)"
149,"(15, -7)"
150,"(15, -8)"
151,"(13, -8)"
152,"(12, -6)"
153,"(9, -5)"
154,"(10, -4)"
155,"(11, -4)"
156,"(12, -4)"
157,"(13, -4)"
158,"(14, -3)"
159,"(14, -2)"
160,"(12, -1)"
161,"(14, -1)"
162,"(15, -1)"
163,"(16, -1)"
164,"(17, -1)"
165,"(18, -2)"
166,"(18, -3)"
167,"(18, -4)"
168,"(17, -2)"
169,"(16, -2)"
170,"(15, -3)"
171,"(15, -4)"
172,"(13, -9)"
173,"(14, -10)"
174,"(13, -10)"
175,"(14, -13)"
176,"(15, -13)"
177,"(16, -12)"
178,"(16, -9)"
179,"(17, -8)"
180,"(16, -7)"
181,"(17, -6)"
182,"(18, -7)"
183,"(17, -9)"
184,"(16, -8)"
185,"(16, -5)"
186,"(17, -5)"
187,"(18, -6)"
188,"(18, -8)"
189,"(18, -10)"
190,"(19, -10)"
191,"(20, -10)"
192,"(21, -11)"
193,"(21, -12)"
194,"(20, -13)"
195,"(21, -13)"
196,"(22, -13)"
197,"(20, -12)"
198,"(20, -11)"
199,"(21, -14)"
200,"(22, -14)"
201,"(23, -14)"
202,"(24, -13)"
203,"(24, -12)"
204,"(24, -11)"
205,"(25, -10)"
206,"(26, -10)"
207,"(27, -10)"
208,"(28, -10)"
209,"(29, -11)"
210,"(29, -12)"
211,"(29, -13)"
212,"(29, -14)"
213,"(28, -15)"
214,"(27, -15)"
215,"(26, -15)"
216,"(27, -14)"
217,"(27, -13)"
218,"(27, -12)"
219,"(26, -13)"
220,"(26, -14)"
221,"(28, -14)"
222,"(28, -13)"
223,"(28, -12)"
224,"(28, -11)"
225,"(30, -14)"
226,"(31, -15)"
227,"(31, -16)"
228,"(31, -17)"
229,"(32, -18)"
230,"(33, -17)"
231,"(33, -16)"
232,"(33, -15)"
233,"(33, -14)"
234,"(33, -13)"
235,"(33, -12)"
236,"(34, -11)"
237,"(35, -11)"
238,"(36, -11)"
239,"(37, -12)"
240,"(37, -11)"
241,"(37, -10)"
242,"(36, -9)"
243,"(35, -9)"
244,"(34, -9)"
245,"(33, -8)"
246,"(33, -7)"
247,"(33, -6)"
248,"(34, -5)"
249,"(33, -5)"
250,"(32, -5)"
251,"(31, -4)"
252,"(31, -3)"
253,"(31, -2)"
254,"(30, -3)"
255,"(30, -4)"
256,"(30, -5)"
257,"(29, -4)"
258,"(32, -4)"
259,"(33, -3)"
260,"(33, -4)"
261,"(34, -7)"
262,"(35, -7)"
263,"(36, -6)"
264,"(36, -7)"
265,"(36, -8)"
266,"(33, -9)"
267,"(38, -10)"
268,"(39, -11)"
269,"(39, -10)"
270,"(39, -9)"
271,"(39, -8)"
272,"(40, -7)"
273,"(41, -7)"
274,"(42, -7)"
275,"(43, -7)"
276,"(44, -6)"
277,"(44, -5)"
278,"(44, -4)"
279,"(44, -3)"
280,"(43, -2)"
281,"(42, -1)"
282,"(42, 0)"
283,"(42, 1)"
284,"(43, 2)"
285,"(44, 2)"
286,"(43, 3)"
287,"(43, 4)"
288,"(43, 5)"
289,"(44, 6)"
290,"(45, 6)"
291,"(43, 6)"
292,"(45, 5)"
293,"(46, 5)"
294,"(47, 5)"
295,"(48, 5)"
296,"(49, 6)"
297,"(49, 7)"
298,"(49, 8)"
299,"(49, 9)"
300,"(48, 10)"
301,"(47, 10)"
302,"(46, 11)"
303,"(46, 12)"
304,"(47, 13)"
305,"(48, 13)"
306,"(49, 13)"
307,"(50, 13)"
308,"(51, 13)"
309,"(52, 13)"
310,"(53, 12)"
311,"(53, 11)"
312,"(53, 10)"
313,"(53, 9)"
314,"(52, 9)"
315,"(51, 9)"
316,"(51, 8)"
317,"(51, 10)"
318,"(51, 11)"
319,"(52, 12)"
320,"(51, 12)"
321,"(52, 11)"
322,"(51, 7)"
323,"(50, 6)"
324,"(48, 6)"
325,"(47, 6)"
326,"(46, 7)"
327,"(47, 8)"
328,"(48, 8)"
329,"(48, 9)"
330,"(47, 9)"
331,"(46, 8)"
332,"(46, 6)"
333,"(45, 4)"
334,"(45, 3)"
335,"(46, 2)"
336,"(47, 2)"
337,"(48, 2)"
338,"(49, 2)"
339,"(50, 1)"
340,"(50, 2)"
341,"(49, 3)"
342,"(48, 4)"
343,"(47, 7)"
